"","DA_aux_pp","DA_QUANDO_v","DOPO_aux_pp","FINCHE_v","FINO_A_aux_pp","INVECE_DI_v","ONDE_v","PER_aux_pp","PER_v","PERCHE_v","POICHE_v","PRIMA_CHE_v","PRIMA_DI_aux_pp","PRIMA_DI_v"
"attivare",0,0,0,0,0,0,1,1,0,1,2,0,0,0
"avvicinare",0,0,0,0,0,2,1,0,2,0,0,0,0,0
"avvolgere",0,0,0,0,0,0,0,1,2,0,1,0,1,0
"cancellare",0,0,0,0,0,0,1,0,1,1,0,0,1,1
"caricare",0,0,2,0,0,0,0,1,1,0,0,0,1,0
"combattere",0,0,0,0,0,2,0,0,2,1,0,0,0,0
"comportare",0,0,0,0,0,0,0,0,0,1,4,0,0,0
"concentrare",0,0,0,0,0,1,0,1,1,0,2,0,0,0
"condotto",0,0,0,0,0,0,0,4,0,0,0,0,1,0
"consolidare",1,0,0,0,0,0,1,0,1,0,0,0,0,2
"deporre",0,0,2,0,0,1,1,1,0,0,0,0,0,0
"derivare",0,0,0,0,0,0,0,0,0,2,3,0,0,0
"diffondere",1,0,0,0,0,0,0,1,1,0,0,0,0,2
"discutere",0,0,0,0,0,3,0,0,2,0,0,0,0,0
"distribuire",0,0,0,0,0,1,0,4,0,0,0,0,0,0
"emergere",0,0,0,0,0,0,1,0,0,1,0,3,0,0
"esporre",0,0,1,0,0,0,0,2,1,0,0,0,0,1
"finanziare",0,0,0,0,0,3,0,0,2,0,0,0,0,0
"firmare",0,0,2,0,0,0,0,2,0,0,0,1,0,0
"fruttare",0,0,0,0,0,0,0,0,0,2,3,0,0,0
"giudicare",0,0,0,0,0,1,0,0,0,1,1,0,0,2
"gustare",0,0,3,0,0,1,0,0,0,0,1,0,0,0
"immaginare",0,0,1,1,0,1,0,0,0,0,1,0,0,1
"incoraggiare",0,0,0,0,0,2,2,0,1,0,0,0,0,0
"individuare",2,0,0,1,0,0,2,0,0,0,0,0,0,0
"intraprendere",0,0,0,0,0,0,0,0,0,0,0,1,0,4
"invitare",1,0,0,0,0,1,0,2,0,0,0,0,0,1
"occupare",0,0,0,0,0,2,0,0,2,0,0,0,0,1
"ordinare",0,0,1,0,0,0,0,2,0,0,0,0,1,1
"percorrere",0,1,4,0,0,0,0,0,0,0,0,0,0,0
"piangere",0,1,0,0,0,2,0,0,0,2,0,0,0,0
"picchiare",0,0,1,0,0,0,0,2,0,0,0,1,0,1
"precipitare",0,0,1,0,0,1,0,0,0,0,0,1,0,2
"preservare",0,0,0,0,0,0,3,0,2,0,0,0,0,0
"prestare",0,2,0,0,0,1,0,2,0,0,0,0,0,0
"pretendere",0,0,0,0,0,1,0,1,0,1,2,0,0,0
"proclamare",0,0,1,0,0,0,0,1,0,0,1,0,2,0
"prodotto",3,0,0,0,0,0,0,2,0,0,0,0,0,0
"re",0,0,0,0,0,0,1,0,0,3,1,0,0,0
"recitare",1,0,1,0,0,0,0,1,0,1,1,0,0,0
"registrare",1,0,3,0,0,0,0,0,0,0,0,0,1,0
"ricorrere",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"riempire",1,0,0,0,0,3,0,0,1,0,0,0,0,0
"ripetere",0,0,0,1,0,1,0,1,0,1,1,0,0,0
"rotolare",0,0,0,1,0,0,3,0,0,0,0,0,0,1
